model,accuracy,f1,auc
lr,0.8542327771522162,0.6625592417061611,0.9057717082128495
rf,0.8578155389497389,0.6778009742519137,0.9040384540337401
mlp,0.8351929573139523,0.6470846120122753,0.8757706917326314
