model,accuracy,f1,auc
lr,0.9819819819819819,0.9802731411229135,0.9983393151615094
rf,0.9722799722799723,0.9701492537313433,0.9972761664564943
mlp,0.9805959805959806,0.9788519637462235,0.9963546415753225
